ID: 14 | Disease: Diabetes | Title: "Veg Makhanwala" | Category: "Lunch" | Image: "/images/diabetes/27e8be58e16f4d2cd5e775c27f4812d1fe3b7c60.jpg"
ID: 15 | Disease: Diabetes | Title: "Aromatic Vegetable Pulao" | Category: "Lunch" | Image: "/images/diabetes/284b3d850bc01b946b10371b884b180e3fe63d8b.jpg"
ID: 16 | Disease: Diabetes | Title: "Palak Paneer" | Category: "Lunch" | Image: "/images/diabetes/2e422c40944a3a57b482b3895370bbbeeeb0b97e.jpg"
ID: 17 | Disease: Diabetes | Title: "Homemade Paneer 2" | Category: "Dinner" | Image: "/images/diabetes/2e6ba327ccb64c931ee034f3c252d5525844558a.jpg"
ID: 18 | Disease: Diabetes | Title: "Mixed Millet Khichdi" | Category: "Lunch" | Image: "/images/diabetes/2ea4cde084433a1bb7d8d59161a3a6c7f6fc905d.jpg"
ID: 19 | Disease: Diabetes | Title: "Besan Burfi" | Category: "Snack" | Image: "/images/diabetes/2fd33ad67eb5d63d6d467cb0c299eb26f54ec38a.jpg"
ID: 20 | Disease: Diabetes | Title: "Drumstick Dal" | Category: "Dinner" | Image: "/images/diabetes/31bd47f02559fb25af5d81e77bcbf279047dc722.jpg"
ID: 21 | Disease: Diabetes | Title: "Kerala  Chicken Stew" | Category: "Lunch" | Image: "/images/diabetes/3343d156bd81501de0eb8afbf7deb326df6e01de.jpg"
ID: 22 | Disease: Diabetes | Title: "Vegetarian Shami Kebab (Chane Ke Kebab)" | Category: "Snack" | Image: "/images/diabetes/34bbe8323636fc8ebe621802913c5478cb758d01.jpg"
ID: 23 | Disease: Diabetes | Title: "Mushroom Curry (Recipe)" | Category: "Dinner" | Image: "/images/diabetes/386ef0ed972466ad1969cdf1c4649027b78cda5d.jpg"
ID: 24 | Disease: Diabetes | Title: "Mustard Vegetable Curry" | Category: "Dinner" | Image: "/images/diabetes/3a056e8f69330ca4aef33dae7abeb62057361561.jpg"
ID: 25 | Disease: Diabetes | Title: "Moong Dal Tikki 2" | Category: "Snack" | Image: "/images/diabetes/3a1a444029cca325235f3d47b251bb920f420b8d.jpg"
ID: 26 | Disease: Diabetes | Title: "Quinoa Vegetable Upma" | Category: "Breakfast" | Image: "/images/diabetes/3a52aa3ee45cafee646288430f1c544eb85cd9e2.jpg"
ID: 27 | Disease: Diabetes | Title: "Mushroom Paratha 2" | Category: "Breakfast" | Image: "/images/diabetes/3d47820bfa143d29cbc9f7b1810860b2b9b820de.jpg"
ID: 28 | Disease: Diabetes | Title: "Lobia Masala" | Category: "Lunch" | Image: "/images/diabetes/3ee8a8fc75e4b63efb1d2c0df0e36c8f44c8e267.jpg"
ID: 29 | Disease: Diabetes | Title: "Masoor Dal Gassi" | Category: "Lunch" | Image: "/images/diabetes/3fbeb638756b9d67ea4fcaf5c2cff2597faffcf9.jpg"
ID: 30 | Disease: Diabetes | Title: "Homemade Ghee" | Category: "Dinner" | Image: "/images/diabetes/400e0bb5c54dcda1faff166ffec5e29fad30d3a5.jpg"
ID: 31 | Disease: Diabetes | Title: "Cabbage And Carrot Thoran" | Category: "Dinner" | Image: "/images/diabetes/41e2be6064d9d1618ada67fdde56fe9e8eecb747.jpg"
ID: 32 | Disease: Diabetes | Title: "Mixed Vegetable Curry Roll" | Category: "Lunch" | Image: "/images/diabetes/48e85b3115b90d0b1695a45e650b88c507448218.jpg"
ID: 33 | Disease: Diabetes | Title: "Indian?" | Category: "Lunch" | Image: "/images/diabetes/5285052498f9f8b00b5991de09835830e9fb598f.jpg"
ID: 34 | Disease: Diabetes | Title: "Garlic Chickpeas And Spinach Curry" | Category: "Lunch" | Image: "/images/diabetes/559cf4f484430233ee5fb03c0a8089340741967e.jpg"
ID: 35 | Disease: Diabetes | Title: "Foxtail Millet Lemon Rice" | Category: "Dinner" | Image: "/images/diabetes/577b9d658adcc629df665eed5aef51ceffc3056c.jpg"
ID: 36 | Disease: Diabetes | Title: "Lauki Raita" | Category: "Dinner" | Image: "/images/diabetes/59f06455d375dd63a34d95ca923ad6eaae161605.jpg"
ID: 37 | Disease: Diabetes | Title: "Apple Cinnamon Modak" | Category: "Snack" | Image: "/images/diabetes/5a0a75a023539e91830f13e0f23df74afe5f6960.jpg"
ID: 38 | Disease: Diabetes | Title: "Ragi (Finger Millet) Chocolate Brownie" | Category: "Snack" | Image: "/images/diabetes/5c2cb21714b071bd97d762c3beff6fb956812b16.jpg"
ID: 39 | Disease: Diabetes | Title: "Masala Chai" | Category: "Dinner" | Image: "/images/diabetes/600626d3faf2099dca0253188a6bc5d221557bea.jpg"
